index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
242,2410,2.4100,0.000000,0.00000,0.0000,-0.1114
243,2420,2.4200,0.000000,0.00000,0.0000,-0.1374
244,2430,2.4300,0.000000,0.00000,0.0000,-0.2167
245,2440,2.4400,0.000000,0.00000,0.0000,-0.0519
246,2450,2.4500,0.000000,0.00000,0.0000,-0.2381
247,2460,2.4600,0.000000,0.00000,0.0000,-0.1450
248,2470,2.4700,0.000000,0.00000,0.0000,-0.1572
249,2480,2.4800,0.000000,0.00000,0.0000,-0.1862
250,2490,2.4900,0.000000,0.00000,0.0000,-0.0229
251,2500,2.5000,0.000000,0.00000,0.0000,-0.1816
252,2510,2.5100,0.000000,0.00000,0.0000,-0.2045
253,2520,2.5200,0.000000,0.00000,0.0000,-0.1679
254,2530,2.5300,0.000000,0.00000,0.0000,-0.2076
255,2540,2.5400,0.000000,0.00000,0.0000,-0.2427
256,2550,2.5500,0.000000,0.00000,0.0000,-0.1938
257,2560,2.5600,0.000000,0.00000,0.0000,-0.1236
258,2570,2.5700,0.000000,0.00000,0.0000,-0.1023
259,2580,2.5800,0.000000,0.00000,0.0000,-0.2305
260,2590,2.5900,0.000000,0.00000,0.0000,-0.1557
261,2600,2.6000,0.000000,0.00000,0.0000,-0.2473
262,2610,2.6100,0.000000,0.00000,0.0000,-0.1908
263,2620,2.6200,0.000000,0.00000,0.0000,-0.0733
264,2630,2.6300,0.000000,0.00000,0.0000,-0.1313
265,2640,2.6400,0.000000,0.00000,0.0000,-0.1557
266,2650,2.6500,0.000000,0.00000,0.0000,-0.2427
267,2660,2.6600,0.000000,0.00000,0.0000,-0.2091
268,2670,2.6700,0.000000,0.00000,0.0000,-0.2030
269,2680,2.6800,0.000000,0.00000,0.0000,-0.1526
270,2690,2.6900,0.000000,0.00000,0.0000,-0.1496
271,2700,2.7000,0.000000,0.00000,0.0000,-0.1084
272,2710,2.7100,0.000000,0.00000,0.0000,-0.2106
273,2720,2.7200,0.000000,0.00000,0.0000,-0.2320
274,2730,2.7300,0.000000,0.00000,0.0000,-0.1999
275,2740,2.7400,0.000000,0.00000,0.0000,-0.1999
276,2750,2.7500,0.000000,0.00000,0.0000,-0.1389
277,2760,2.7600,0.000000,0.00000,0.0000,-0.1969
278,2770,2.7700,0.000000,0.00000,0.0000,-0.2427
279,2780,2.7800,0.000000,0.00000,0.0000,-0.1847
280,2790,2.7900,0.000000,0.00000,0.0000,-0.0763
281,2800,2.8000,0.000000,0.00000,0.0000,-0.2747
282,2810,2.8100,0.000000,0.00000,0.0000,-0.0626
283,2820,2.8200,0.000000,0.00000,0.0000,-0.1297
284,2830,2.8300,0.000000,0.00000,0.0000,-0.1786
285,2840,2.8400,0.000000,0.00000,0.0000,-0.1053
286,2850,2.8500,0.000000,0.00000,0.0000,-0.1389
287,2860,2.8600,0.000000,0.00000,0.0000,-0.2244
288,2870,2.8700,0.000000,0.00000,0.0000,-0.1282
289,2880,2.8800,0.000000,0.00000,0.0000,-0.2305
290,2890,2.8900,0.000000,0.00000,0.0000,-0.2137
291,2900,2.9000,0.000000,0.00000,0.0000,-0.1221
292,2910,2.9100,0.000000,0.00000,0.0000,-0.1648
293,2920,2.9200,0.000000,0.00000,0.0000,-0.1084
294,2930,2.9300,0.000000,0.00000,0.0000,-0.1084
295,2940,2.9400,0.000000,0.00000,0.0000,-0.1770
296,2950,2.9500,0.000000,0.00000,0.0000,-0.1129
297,2960,2.9600,0.000000,0.00000,0.0000,-0.0885
298,2970,2.9700,0.000000,0.00000,0.0000,-0.1358
299,2980,2.9800,0.000000,0.00000,0.0000,-0.1435
