time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1
3.319834,24792380,0,0,0.00000000,0.00000000,0
3.329834,24802380,0,0,0.00000000,0.00000000,0
3.339834,24812380,0,0,0.00000000,0.00000000,0
3.349834,24822380,0,0,0.00000000,0.00000000,0
3.359834,24832380,0,0,0.00000000,0.00000000,0
3.369834,24842380,0,0,0.00000000,0.00000000,0
3.379834,24852380,0,0,0.00000000,0.00000000,0
3.389834,24862380,0,0,0.00000000,0.00000000,0
3.399834,24872380,0,0,0.00000000,0.00000000,0
3.409834,24882380,0,0,0.00000000,0.00000000,0
3.419834,24892380,0,0,0.00000000,0.00000000,0
3.429834,24902380,0,0,0.00000000,0.00000000,0
3.439834,24912380,0,0,0.00000000,0.00000000,0
3.449834,24922380,0,0,0.00000000,0.00000000,0
3.459834,24932380,0,0,0.00000000,0.00000000,0
3.469834,24942380,0,0,0.00000000,0.00000000,0
3.479834,24952380,0,0,0.00000000,0.00000000,0
3.489834,24962380,0,0,0.00000000,0.00000000,0
3.499834,24972380,0,0,0.00000000,0.00000000,0
3.509834,24982380,0,0,0.00000000,0.00000000,0
3.519834,24992380,0,0,0.00000000,0.00000000,0
3.529834,25002380,0,0,0.00000000,0.00000000,0
3.539834,25012380,0,0,0.00000000,0.00000000,0
3.549834,25022380,0,0,0.00000000,0.00000000,0
3.559834,25032380,0,0,0.00000000,0.00000000,0
3.569834,25042380,0,0,0.00000000,0.00000000,0
3.579834,25052380,0,0,0.00000000,0.00000000,0
3.589834,25062380,0,0,0.00000000,0.00000000,0
3.599834,25072380,0,0,0.00000000,0.00000000,0
3.609834,25082380,0,0,0.00000000,0.00000000,0
3.619834,25092380,0,0,0.00000000,0.00000000,0
3.629834,25102380,0,0,0.00000000,0.00000000,0
3.639834,25112380,0,0,0.00000000,0.00000000,0
3.649834,25122380,0,0,0.00000000,0.00000000,0
3.659834,25132380,0,0,0.00000000,0.00000000,0
3.669834,25142380,0,0,0.00000000,0.00000000,0
3.679834,25152380,0,0,0.00000000,0.00000000,0
3.689834,25162380,0,0,0.00000000,0.00000000,0
3.699834,25172380,0,0,0.00000000,0.00000000,0
3.709834,25182380,0,0,0.00000000,0.00000000,0
3.719834,25192380,0,0,0.00000000,0.00000000,0
3.729834,25202380,0,0,0.00000000,0.00000000,0
3.739834,25212380,0,0,0.00000000,0.00000000,0
3.749834,25222380,0,0,0.00000000,0.00000000,0
3.759834,25232380,0,0,0.00000000,0.00000000,0
3.769834,25242380,0,0,0.00000000,0.00000000,0
3.779834,25252380,0,0,0.00000000,0.00000000,0
3.789834,25262380,0,0,0.00000000,0.00000000,0
3.799834,25272380,0,0,0.00000000,0.00000000,0
3.809834,25282380,0,0,0.00000000,0.00000000,0
3.819834,25292380,0,0,0.00000000,0.00000000,0
3.829834,25302380,0,0,0.00000000,0.00000000,0
3.839834,25312380,0,0,0.00000000,0.00000000,0
3.849834,25322380,0,0,0.00000000,0.00000000,0
3.859834,25332380,0,0,0.00000000,0.00000000,0
3.869834,25342380,0,0,0.00000000,0.00000000,0
3.879834,25352380,0,0,0.00000000,0.00000000,0
3.889834,25362380,0,0,0.00000000,0.00000000,0
3.899834,25372380,0,0,0.00000000,0.00000000,0
3.909834,25382380,0,0,0.00000000,0.00000000,0
3.919834,25392380,0,0,0.00000000,0.00000000,0
3.929834,25402380,0,0,0.00000000,0.00000000,0
3.939834,25412380,0,0,0.00000000,0.00000000,0
3.949834,25422380,0,0,0.00000000,0.00000000,0
3.959834,25432380,0,0,0.00000000,0.00000000,0
3.969834,25442380,0,0,0.00000000,0.00000000,0
3.979834,25452380,0,0,0.00000000,0.00000000,0
3.989834,25462380,0,0,0.00000000,0.00000000,0
3.999834,25472380,0,0,0.00000000,0.00000000,0
4.009834,25482380,0,0,0.00000000,0.00000000,0
4.019834,25492380,0,0,0.00000000,0.00000000,0
4.029834,25502380,0,0,0.00000000,0.00000000,0
4.039834,25512380,0,0,0.00000000,0.00000000,0
4.049834,25522380,0,0,0.00000000,0.00000000,0
4.059834,25532380,0,0,0.00000000,0.00000000,0
4.069834,25542380,0,0,0.00000000,0.00000000,0
4.079834,25552380,0,0,0.00000000,0.00000000,0
4.089834,25562380,0,0,0.00000000,0.00000000,0
4.099834,25572380,0,0,0.00000000,0.00000000,0
4.109834,25582380,0,0,0.00000000,0.00000000,0
4.119834,25592380,0,0,0.00000000,0.00000000,0
4.129834,25602380,0,0,0.00000000,0.00000000,0
4.139834,25612380,0,0,0.00000000,0.00000000,0
4.149834,25622380,0,0,0.00000000,0.00000000,0
